baseline_id,category,monitoring_requirement,data_sources_needed,priority,compliance_frameworks,mitre_tactics,covered
BL-NET-008,Network,Monitor lateral movement and internal reconnaissance,NetFlow|Windows Security Event ID 4648|SMB Logs,High,ISO27001|NIST,Lateral Movement|Discovery,No
BL-WEB-001,Application,Monitor web application logs for SQL injection attempts,Web Application Logs|WAF Logs,Critical,PCI-DSS|ISO27001|OWASP,Initial Access,No
BL-WEB-002,Application,Monitor web application authentication failures,Web Application Logs|Access Logs,High,PCI-DSS|ISO27001|SOC2,Credential Access|Initial Access,No
BL-WEB-003,Application,Monitor web application for XSS and code injection,WAF Logs|Application Logs,High,PCI-DSS|ISO27001|OWASP,Initial Access|Execution,No
BL-WEB-004,Application,Monitor API authentication and authorization failures,API Gateway Logs|Application Logs,High,ISO27001|SOC2,Initial Access|Credential Access,No
BL-WEB-005,Application,Monitor file upload activities on web applications,Web Application Logs|WAF Logs,High,ISO27001|OWASP,Initial Access|Execution,No
BL-WEB-006,Application,Monitor admin portal access and privileged operations,Web Application Logs|Admin Logs,Critical,PCI-DSS|ISO27001|SOC2,Initial Access|Privilege Escalation,No
BL-CLD-001,Cloud,Monitor AWS CloudTrail for IAM policy and role changes,AWS CloudTrail,Critical,ISO27001|SOC2|NIST,Privilege Escalation|Persistence,No
BL-CLD-002,Cloud,Monitor AWS security group and network ACL modifications,AWS CloudTrail|VPC Flow Logs,Critical,PCI-DSS|ISO27001|SOC2,Defense Evasion|Initial Access,No
BL-CLD-003,Cloud,Monitor AWS S3 bucket policy changes and public access,AWS CloudTrail|S3 Access Logs,Critical,GDPR|ISO27001|SOC2,Exfiltration|Initial Access,No
BL-CLD-004,Cloud,Monitor Azure AD sign-in logs for suspicious activity,Azure AD Sign-in Logs|Audit Logs,Critical,ISO27001|SOC2,Initial Access|Credential Access,No
BL-CLD-005,Cloud,Monitor cloud compute instance creation and termination,AWS CloudTrail|Azure Activity Logs|GCP Audit Logs,High,ISO27001|SOC2,Impact|Resource Development,No
BL-CLD-006,Cloud,Monitor cloud storage access and data downloads,S3 Access Logs|Azure Blob Logs|GCS Audit Logs,High,GDPR|ISO27001,Exfiltration|Collection,No
BL-CLD-007,Cloud,Monitor cloud key vault and secrets access,AWS KMS|Azure Key Vault|GCP Secret Manager Logs,Critical,PCI-DSS|ISO27001|SOC2,Credential Access,No
BL-CLD-008,Cloud,Monitor cloud privilege escalation attempts,CloudTrail|Azure Activity Logs|GCP Audit Logs,Critical,ISO27001|SOC2|NIST,Privilege Escalation,No
BL-DB-001,Database,Monitor database administrator account usage,Database Audit Logs|MSSQL/MySQL/Oracle Logs,Critical,PCI-DSS|ISO27001|SOC2,Privilege Escalation|Collection,No
BL-DB-002,Database,Monitor database schema changes and DDL operations,Database Audit Logs,High,PCI-DSS|ISO27001|SOC2,Impact|Defense Evasion,No
BL-DB-003,Database,Monitor sensitive data access queries,Database Audit Logs|Query Logs,Critical,PCI-DSS|GDPR|ISO27001,Collection|Exfiltration,No
BL-DB-004,Database,Monitor database authentication failures,Database Audit Logs|Error Logs,High,PCI-DSS|ISO27001,Credential Access,No
BL-DB-005,Database,Monitor bulk data extraction and export operations,Database Audit Logs|Query Logs,High,GDPR|PCI-DSS|ISO27001,Exfiltration|Collection,No
BL-EMAIL-001,Email,Monitor email gateway for phishing and malicious attachments,Email Gateway Logs|Mail Security Logs,Critical,ISO27001|SOC2,Initial Access,No
BL-EMAIL-002,Email,Monitor mailbox rule creation and forwarding rules,Exchange Logs|Office 365 Audit Logs,High,ISO27001|SOC2,Collection|Exfiltration,No
BL-EMAIL-003,Email,Monitor mass email sending and distribution list abuse,Mail Server Logs|SMTP Logs,Medium,ISO27001,Initial Access|Impact,No
BL-SEC-001,Security Tools,Monitor security tool tampering and disablement,EDR Logs|SIEM Logs|Windows Security Event ID 1102,Critical,ISO27001|NIST,Defense Evasion,No
BL-SEC-002,Security Tools,Monitor backup system access and backup deletions,Backup Software Logs|Windows Event Logs,Critical,PCI-DSS|ISO27001|SOC2,Impact,No
BL-SEC-003,Security Tools,Monitor certificate creation and installation,Windows Security|Certificate Authority Logs|Sysmon Event ID 8,High,ISO27001|PCI-DSS,Defense Evasion|Credential Access,No
